정류소노드 아이디,정류소명,경도,위도,지자체코드,지자체명
150000007,대신센트럴자이,128.5779931,35.86376,150,중구
150000008,청라언덕(신남)역(2번출구),128.5807511,35.864155,150,중구
150000009,청라언덕(신남)역(1번출구),128.5811752,35.864715,150,중구
150000010,대구제일고등학교건너,128.5736249,35.872225,150,중구
150000011,대구제일고등학교앞,128.5738448,35.871934,150,중구
150000014,큰장네거리2,128.578468,35.870766,150,중구
150000015,큰장네거리3,128.578702,35.870962,150,중구
150000016,계명대학교 대구동산병원앞1,128.5824128,35.868614,150,중구
150000017,동산의료원앞2,128.58242,35.86735,150,중구
150000018,서문시장,128.5821652,35.867491,150,중구
150000019,중부소방서앞,128.5767961,35.863046,150,중구
150000020,중부소방서건너,128.5755502,35.863157,150,중구
150000021,대봉교회,128.600856,35.855234,150,중구
150000022,청라국민체육센터앞,128.602192,35.856568,150,중구
150000023,대봉2동행정복지센터건너,128.601171,35.859404,150,중구
150000024,건들바위앞,128.5984822,35.858226,150,중구
150000025,봉산가구골목(서편),128.5989739,35.861131,150,중구
150000026,봉산가구골목(동편),128.5992371,35.861559,150,중구
150000027,봉산육거리,128.5992299,35.862792,150,중구
150000028,중구청앞,128.606881,35.868994,150,중구
150000029,봉산문화거리건너,128.596959,35.865031,150,중구
150000030,봉산문화거리앞,128.5971671,35.864622,150,중구
150000031,2호선반월당역2,128.5958318,35.864864,150,중구
150000032,2호선반월당역1,128.5956601,35.865265,150,중구
150000033,2.28기념중앙공원건너1,128.5981369,35.870562,150,중구
150000034,약령시건너(동성로방면),128.5936628,35.867866,150,중구
150000035,약령시앞,128.5936009,35.869036,150,중구
150000036,곽병원앞2,128.589178,35.870408,150,중구
150000037,섬유회관건너1,128.583,35.8707,150,중구
150000038,감상감영공원건너,128.5944451,35.87278,150,중구
150000039,감상감영공원앞,128.5944761,35.873641,150,중구
151000001,수성도서관앞2,128.637176,35.87254,151,동구
151000002,동대구역복합환승센터,128.6299868,35.878568,151,동구
151000003,한전동대구지사건너,128.6412581,35.874296,151,동구
151000004,경북아파트앞(신천동),128.632819,35.876461,151,동구
151000005,팔공정보문화센터건너,128.6343191,35.874365,151,동구
151000006,대구지방법원등기국건너,128.6348501,35.879071,151,동구
151000007,태왕메트로시티건너,128.640856,35.880917,151,동구
151000010,동대구역복합환승센터,128.6300369,35.878412,151,동구
151000011,갓바위,128.7262429,35.970493,151,동구
151000012,중마을(갓바위방향),128.7211702,35.966103,151,동구
151000013,진인동(양지마을)앞,128.718036,35.964381,151,동구
151000014,진인동(양지마을)건너,128.7169999,35.9634,151,동구
151000015,진정마을1,128.713829,35.959932,151,동구
151000016,진정마을2,128.7139111,35.959786,151,동구
151000017,능성동입구건너,128.7110002,35.959,151,동구
151000018,능성동입구앞,128.7110002,35.9588,151,동구
151000019,진인동(팔공산방향),128.706287,35.955733,151,동구
151000020,진인동(시내방향),128.706079,35.955917,151,동구
151000021,백안기도원2,128.703902,35.955021,151,동구
151000022,백안기도원1,128.7041209,35.954888,151,동구
151000023,대구애견훈련학교건너,128.7020542,35.954357,151,동구
151000024,대구애견훈련학교앞,128.702205,35.954175,151,동구
151000025,웃갈미마을건너,128.6989711,35.953248,151,동구
151000026,웃갈미마을앞,128.698906,35.953033,151,동구
151000027,백안교2,128.6939999,35.9532,151,동구
151000028,백안교1,128.6939999,35.953,151,동구
151000029,공산초등학교건너,128.692111,35.956048,151,동구
151000030,공산초등학교앞,128.6918849,35.956193,151,동구
151000031,서당마을건너,128.6965249,35.962015,151,동구
151000032,서당마을앞,128.6965649,35.961877,151,동구
151000033,방짜유기박물관앞,128.6980081,35.964354,151,동구
151000034,방짜유기박물관건너,128.6979509,35.964619,151,동구
151000035,도학동1,128.7012341,35.972191,151,동구
151000036,도학동,128.701067,35.972014,151,동구
151000037,시교육연수원입구앞,128.699474,35.978942,151,동구
151000038,시교육연수원입구건너,128.6991839,35.979008,151,동구
151000039,동화교2,128.6980459,35.984154,151,동구
151000040,동화사입구건너,128.6977511,35.988718,151,동구
151000041,동화사입구앞,128.69726,35.988868,151,동구
151000042,동화시설집단지구(종점)2,128.695,35.9882,151,동구
151000043,동화시설집단지구(종점)1,128.6943048,35.9880332,151,동구
151000044,수태골앞,128.6809999,35.9928,151,동구
151000045,수태골건너,128.6809999,35.9926,151,동구
151000046,부인사앞,128.6738521,35.99268,151,동구
151000047,부인사건너,128.673585,35.992384,151,동구
151000048,대구교육연수원건너,128.6689115,35.9895192,151,동구
151000049,파계사(종점),128.6370083,35.9903862,151,동구
151000050,송정동4,128.6247481,35.988426,151,동구
151000051,송정동1,128.622195,35.986917,151,동구
151000052,송정동2,128.6226169,35.987099,151,동구
151000053,당정마을입구,128.6187149,35.98926,151,동구
151000054,당정마을입구건너,128.6184319,35.989148,151,동구
151000055,팔공한마음주유소,128.616449,35.991232,151,동구
151000056,팔공한마음주유소건너,128.615971,35.99141,151,동구
151000057,덕곡 (달구벌고교),128.6124271,35.994855,151,동구
151000058,덕곡 (대구선명학교),128.612277,35.995198,151,동구
151000059,중마을(시내방향),128.7208688,35.966113,151,동구
151000060,동화교1,128.69829,35.984229,151,동구
151000061,송정동3,128.624886,35.988375,151,동구
152000001,새길시장앞,128.571836,35.863168,152,서구
152000002,대영학원건너,128.5710329,35.86659,152,서구
152000003,한전서대구지사건너,128.5711492,35.87018,152,서구
152000006,원대동행정복지센터앞,128.573915,35.885535,152,서구
152000007,원대시장앞,128.574252,35.885512,152,서구
152000008,비산지하도2,128.5716442,35.880762,152,서구
152000009,비산지하도1,128.5719368,35.880735,152,서구
152000010,대구은행북비산지점건너1,128.5714429,35.877891,152,서구
152000012,대구은행북비산지점앞,128.5711351,35.87815,152,서구
152000013,서부시장건너,128.571043,35.875014,152,서구
152000014,서부시장앞,128.5713389,35.874307,152,서구
152000016,서대구초등학교입구,128.559114,35.887939,152,서구
152000018,비산7동우체국건너,128.5602278,35.888626,152,서구
152000020,북부정류장,128.5556839,35.884274,152,서구
152000021,반고개역(3번출구),128.5738369,35.862318,152,서구
152000022,반고개2,128.5684909,35.860957,152,서구
152000024,반고개1,128.5697452,35.861672,152,서구
152000025,현대해상건너,128.562417,35.859693,152,서구
152000026,현대해상앞,128.561251,35.858875,152,서구
152000027,두류역(달성고등학교건너),128.555226,35.856785,152,서구
152000028,두류역(달성고등학교앞),128.5547501,35.857104,152,서구
152000030,감삼네거리1,128.5493962,35.855042,152,서구
152000031,감삼네거리2,128.549129,35.854434,152,서구
152000033,북부정류장,128.5558661,35.884318,152,서구
152000034,한국전력서대구지점앞,128.5710001,35.8703,152,서구
152000035,구)대영학원앞,128.5710001,35.8678,152,서구
152000036,새길시장건너,128.571201,35.864432,152,서구
152000037,광장타운앞,128.5514971,35.855813,152,서구
152000038,만평네거리,128.562241,35.889087,152,서구
152000039,북부정류장건너,128.5578079,35.886076,152,서구
152000040,비산7동우체국앞1,128.5597591,35.888002,152,서구
152000041,서대구초등학교건너,128.559119,35.887656,152,서구
152000042,반고개(내당역4번출구),128.5667561,35.860899,152,서구
153000022,서부시외버스터미널,128.5576448,35.837334,153,남구
153000023,서부시외버스터미널,128.5578371,35.837414,153,남구
